ticket_text,category
Customer message regarding technical issue with extra details: issue with billing,Technical issue
Customer message regarding product inquiry with extra details: issue with billing,Product inquiry
Customer message regarding product inquiry with extra details: product technical problem,Product inquiry
Customer message regarding technical issue with extra details: cancel my bill,Technical issue
Customer message regarding cancellation request with extra details: refund my product,Cancellation request
Customer message regarding refund request with extra details: issue with billing,Refund request
Customer message regarding billing inquiry with extra details: issue with billing,Billing inquiry
Customer message regarding billing inquiry with extra details: issue with billing,Billing inquiry
Customer message regarding refund request with extra details: product technical problem,Refund request
Customer message regarding billing inquiry with extra details: cancel my bill,Billing inquiry
Customer message regarding product inquiry with extra details: cancel my bill,Product inquiry
Customer message regarding product inquiry with extra details: product technical problem,Product inquiry
Customer message regarding billing inquiry with extra details: product technical problem,Billing inquiry
Customer message regarding technical issue with extra details: cancel my bill,Technical issue
Customer message regarding refund request with extra details: cancel my bill,Refund request
Customer message regarding technical issue with extra details: issue with billing,Technical issue
Customer message regarding cancellation request with extra details: product technical problem,Cancellation request
Customer message regarding cancellation request with extra details: issue with billing,Cancellation request
Customer message regarding refund request with extra details: issue with billing,Refund request
Customer message regarding billing inquiry with extra details: refund my product,Billing inquiry
Customer message regarding refund request with extra details: issue with billing,Refund request
Customer message regarding cancellation request with extra details: issue with billing,Cancellation request
Customer message regarding cancellation request with extra details: product technical problem,Cancellation request
Customer message regarding refund request with extra details: issue with billing,Refund request
Customer message regarding refund request with extra details: issue with billing,Refund request
Customer message regarding billing inquiry with extra details: refund my product,Billing inquiry
Customer message regarding cancellation request with extra details: product technical problem,Cancellation request
Customer message regarding billing inquiry with extra details: cancel my bill,Billing inquiry
Customer message regarding technical issue with extra details: refund my product,Technical issue
Customer message regarding cancellation request with extra details: issue with billing,Cancellation request
Customer message regarding cancellation request with extra details: issue with billing,Cancellation request
Customer message regarding refund request with extra details: cancel my bill,Refund request
Customer message regarding product inquiry with extra details: cancel my bill,Product inquiry
Customer message regarding refund request with extra details: refund my product,Refund request
Customer message regarding cancellation request with extra details: cancel my bill,Cancellation request
Customer message regarding product inquiry with extra details: product technical problem,Product inquiry
Customer message regarding technical issue with extra details: issue with billing,Technical issue
Customer message regarding technical issue with extra details: cancel my bill,Technical issue
Customer message regarding product inquiry with extra details: cancel my bill,Product inquiry
Customer message regarding cancellation request with extra details: refund my product,Cancellation request
Customer message regarding technical issue with extra details: issue with billing,Technical issue
Customer message regarding billing inquiry with extra details: refund my product,Billing inquiry
Customer message regarding technical issue with extra details: cancel my bill,Technical issue
Customer message regarding refund request with extra details: refund my product,Refund request
Customer message regarding billing inquiry with extra details: cancel my bill,Billing inquiry
Customer message regarding refund request with extra details: refund my product,Refund request
Customer message regarding technical issue with extra details: cancel my bill,Technical issue
Customer message regarding billing inquiry with extra details: cancel my bill,Billing inquiry
Customer message regarding refund request with extra details: refund my product,Refund request
Customer message regarding refund request with extra details: product technical problem,Refund request
Customer message regarding cancellation request with extra details: product technical problem,Cancellation request
Customer message regarding technical issue with extra details: issue with billing,Technical issue
Customer message regarding product inquiry with extra details: issue with billing,Product inquiry
Customer message regarding cancellation request with extra details: cancel my bill,Cancellation request
Customer message regarding product inquiry with extra details: refund my product,Product inquiry
Customer message regarding technical issue with extra details: issue with billing,Technical issue
Customer message regarding technical issue with extra details: product technical problem,Technical issue
Customer message regarding technical issue with extra details: issue with billing,Technical issue
Customer message regarding cancellation request with extra details: refund my product,Cancellation request
Customer message regarding billing inquiry with extra details: cancel my bill,Billing inquiry
Customer message regarding technical issue with extra details: product technical problem,Technical issue
Customer message regarding cancellation request with extra details: cancel my bill,Cancellation request
Customer message regarding product inquiry with extra details: refund my product,Product inquiry
Customer message regarding billing inquiry with extra details: issue with billing,Billing inquiry
Customer message regarding technical issue with extra details: cancel my bill,Technical issue
Customer message regarding product inquiry with extra details: refund my product,Product inquiry
Customer message regarding product inquiry with extra details: refund my product,Product inquiry
Customer message regarding technical issue with extra details: cancel my bill,Technical issue
Customer message regarding product inquiry with extra details: cancel my bill,Product inquiry
Customer message regarding refund request with extra details: product technical problem,Refund request
Customer message regarding technical issue with extra details: refund my product,Technical issue
Customer message regarding product inquiry with extra details: cancel my bill,Product inquiry
Customer message regarding technical issue with extra details: refund my product,Technical issue
Customer message regarding billing inquiry with extra details: cancel my bill,Billing inquiry
Customer message regarding product inquiry with extra details: refund my product,Product inquiry
Customer message regarding technical issue with extra details: refund my product,Technical issue
Customer message regarding cancellation request with extra details: cancel my bill,Cancellation request
Customer message regarding refund request with extra details: issue with billing,Refund request
Customer message regarding billing inquiry with extra details: refund my product,Billing inquiry
Customer message regarding cancellation request with extra details: cancel my bill,Cancellation request
Customer message regarding technical issue with extra details: refund my product,Technical issue
Customer message regarding refund request with extra details: cancel my bill,Refund request
Customer message regarding refund request with extra details: product technical problem,Refund request
Customer message regarding billing inquiry with extra details: refund my product,Billing inquiry
Customer message regarding refund request with extra details: refund my product,Refund request
Customer message regarding billing inquiry with extra details: product technical problem,Billing inquiry
Customer message regarding product inquiry with extra details: issue with billing,Product inquiry
Customer message regarding cancellation request with extra details: cancel my bill,Cancellation request
Customer message regarding product inquiry with extra details: product technical problem,Product inquiry
