ticket_text,category,priority
"Hi team, The mobile app is very slow after the last update. Get back to me.",Technical Issue,Medium
Fix this ASAP! The application crashes when I click on the dashboard. Get back to me.,Technical Issue,High
Question: The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
"Hi team, I want to upgrade my plan to premium. Regards.",Account,Medium
Fix this ASAP! My credit card was declined but I have sufficient funds.,Billing,High
URGENT: How can I delete my account permanently?,Account,Medium
"Hi team, Where can I find the documentation for the API? Thanks.",General Query,Low
"Hello, My credit card was declined but I have sufficient funds. Appreciate it.",Billing,High
Please help. My credit card was declined but I have sufficient funds. Appreciate it.,Billing,High
Question: Can I pay using PayPal? Thanks.,Billing,Low
"Hello, How do I change my profile picture? Get back to me.",General Query,Low
"Hi team, I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.",Billing,High
"Hello, My credit card was declined but I have sufficient funds. Get back to me.",Billing,High
Please help. My data is not syncing across devices. Thanks.,Technical Issue,Medium
Please help. My data is not syncing across devices. Thanks.,Technical Issue,Medium
Question: My data is not syncing across devices. Appreciate it.,Technical Issue,Medium
Question: My account is locked and I cannot log in. Regards.,Account,High
Fix this ASAP! How can I delete my account permanently?,Account,Medium
Question: Where can I find the documentation for the API? Thanks.,General Query,Low
Fix this ASAP! Where can I find the documentation for the API?,General Query,Low
URGENT: Can I pay using PayPal? Thanks.,Billing,Low
"Hi team, I want to upgrade my plan to premium. Regards.",Account,Medium
"Hello, When is the next feature update coming out? Regards.",General Query,Low
Please help. Can I pay using PayPal? Appreciate it.,Billing,Low
URGENT: The application crashes when I click on the dashboard. Get back to me.,Technical Issue,High
"Hi team, I want to upgrade my plan to premium. Appreciate it.",Account,Medium
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.,Billing,High
Please help. I keep receiving spam emails from your service.,General Query,Medium
"Hello, Where can I find the documentation for the API? Thanks.",General Query,Low
Question: The application crashes when I click on the dashboard. Regards.,Technical Issue,High
"Hello, When is the next feature update coming out? Regards.",General Query,Low
